日期,000300.SH,H11001,H11025,AUCI.SHF
2010/8/19,2955.395,134.42,1117.337,1360.6151
2010/8/20,2898.333,134.44,1117.4021,1359.6034
2010/8/23,2896.192,134.47,1117.5673,1358.6929
2010/8/24,2911.827,134.47,1117.6312,1349.8912
2010/8/25,2843.023,134.64,1117.6948,1364.763
2010/8/26,2850.093,134.59,1117.7543,1371.3895
2010/8/27,2858.566,134.59,1117.8291,1366.8876
2010/8/30,2915.01,134.85,1118.0093,1367.8487
2010/8/31,2903.188,134.68,1118.0847,1367.1911
2010/9/1,2884.042,134.71,1118.1808,1386.5142
2010/9/2,2921.393,134.82,1118.2433,1381.4558
2010/9/3,2920.205,134.81,1118.3166,1384.592
2010/9/6,2975.09,134.84,1118.4953,1382.2146
2010/9/7,2983.108,134.88,1118.5588,1381.7087
2010/9/8,2980.967,134.77,1118.6248,1392.7361
2010/9/9,2926.46,134.89,1118.6827,1385.1485
2010/9/10,2932.554,134.86,1118.7584,1375.9421
2010/9/13,2962.319,134.83,1118.9186,1376.2962
2010/9/14,2965.009,134.78,1118.9921,1378.9266
2010/9/15,2913.194,134.74,1119.0513,1398.9074
2010/9/16,2857.789,134.71,1119.1064,1395.8723
2010/9/17,2861.369,134.63,1119.1652,1407.4561
2010/9/20,2849.828,134.52,1119.3305,1412.3122
2010/9/21,2857.476,134.54,1119.3882,1403.207
2010/9/27,2905.029,134.6,1119.718,1422.1761
2010/9/28,2880.907,134.72,1119.7921,1413.4251
2010/9/29,2874.812,134.79,1119.8758,1432.4953
2010/9/30,2935.574,134.8,1119.9426,1437.1491
2010/10/8,3044.233,134.87,1120.3905,1445.1414
2010/10/11,3132.895,134.73,1120.5974,1471.5464
2010/10/12,3172.726,134.52,1120.6656,1466.9837
2010/10/13,3217.577,134.54,1120.7723,1480.955
2010/10/14,3224.14,134.55,1120.8554,1508.048
2010/10/15,3327.683,134.55,1120.9235,1505.2861
2010/10/18,3306.16,134.54,1121.086,1481.3091
2010/10/19,3375.674,134.58,1121.1763,1484.0407
2010/10/20,3396.879,134.08,1121.2496,1459.0521
2010/10/21,3374.685,133.71,1121.3351,1460.6202
2010/10/22,3378.655,133.54,1121.4394,1446.5577
2010/10/25,3481.081,133.61,1121.6125,1474.5308
2010/10/26,3466.084,133.51,1121.7355,1463.3011
2010/10/27,3403.872,133.34,1121.8282,1455.9664
